08 22 2016 20 18 00 00000000 00110000  13.5 1491.6 240.0  22.8  21.2   0.509  42.30 15554 14916
   0.747  -0.258  -0.700  22.0  22.0  22.0
   3.571  -1.929   0.995  22.0  21.0  32.0
   0.871  -0.378  -0.098  22.0  21.0  29.0
  -0.484   0.366  -0.544  21.0  21.0  21.0
  -0.368  -0.019  -0.390  21.0  21.0  21.0
   0.018  -0.071  -0.618  21.0  21.0  21.0
   0.443  -0.472  -0.424  21.0  21.0  21.0
  -0.303  -0.044  -0.530  21.0  21.0  21.0
  -0.431   0.155  -0.378  21.0  21.0  21.0
  -0.375  -0.101  -0.459  21.0  21.0  21.0
  -0.376   0.069  -0.613  21.0  21.0  21.0
   0.080  -0.340  -0.290  21.0  21.0  21.0
   0.078  -0.427  -0.333  21.0  21.0  21.0
  -0.294  -0.429  -0.405  21.0  21.0  21.0
   0.006  -0.102  -0.305  21.0  21.0  21.0
